hostname,role.app,env,loc,href
dc-pod2,DC,INFRA,Core,POD2,/orgs/1/workloads/471be68e-9367-4b27-b4db-2dab7b07864e
h8-up-s1,h,up,s1,Amazon,/orgs/1/workloads/6e7d30d7-b703-4a34-9e1b-9be8a8bb3d25
h2-up-s1,h,up,s1,Amazon,/orgs/1/workloads/98206901-b933-43f3-be18-d3eaea6de331
dc-pod1,DC,INFRA,Core,POD1,/orgs/1/workloads/9900eef5-7082-4484-bde6-ab34dc2f1d32
h1-cog-d456,h,cog,d456,Amazon,/orgs/1/workloads/a70bd227-8f8f-4115-8850-6811d47afff8
h6-up-s1,h,up,s1,Amazon,/orgs/1/workloads/e3fbbf8c-8115-44e6-9602-5ce89fc147ce
h5-up-s1,h,up,s1,Amazon,/orgs/1/workloads/4ecad5cd-c279-4a4a-9361-7b6018f16859
h2-cog-s1,h,cog,s1,Amazon,/orgs/1/workloads/b97c7056-e873-45fc-8843-afc0e9a74b5d
h4-cog-s1,h,cog,s1,Amazon,/orgs/1/workloads/6d541c10-55dd-4983-bfd9-649bb562ee08
h1-up-d123,h,up,d123,Amazon,/orgs/1/workloads/c07e0665-388a-4602-9bf4-0bfefcc4eeb8
h4-up-s1,h,up,s1,Amazon,/orgs/1/workloads/ef96413b-2e51-4e34-8eff-43df6320e952
h3-up-d123,h,up,d123,Amazon,/orgs/1/workloads/2977fa58-18fe-4026-9998-513dc5c332e9
h3-up-s1,h,up,s1,Amazon,/orgs/1/workloads/6fb74d3f-516d-4941-84be-3f899367869d
h3-cog-s1,h,cog,s1,Amazon,/orgs/1/workloads/41c17972-3f22-44fd-817b-8b9dfbcfabe7
h4-up-d123,h,up,d123,Amazon,/orgs/1/workloads/c187a7e1-37a7-49e7-8b5a-aedfcdcd7843
h2-up-d123,h,up,d123,Amazon,/orgs/1/workloads/483ac079-5bd4-4d08-97c9-6dfb08574499
h5-up-d123,h,up,d123,Amazon,/orgs/1/workloads/9b67f7e6-c170-4fda-8bd3-393e68a0563a
h1-up-s1,h,up,s1,Amazon,/orgs/1/workloads/d5a54775-1ff4-4c7f-a42a-c66cf5011092
h2-cog-d456,h,cog,d456,Amazon,/orgs/1/workloads/e1efde0f-deb0-42cb-9576-a5a20c74e6bb
h7-up-s1,h,up,s1,Amazon,/orgs/1/workloads/35840a43-27dc-4e5a-b342-392533f693fe
h4-cog-d456,h,cog,d456,Amazon,/orgs/1/workloads/a09bbe48-c9ab-451f-a7f6-536032ac5e9c
h3-cog-d456,h,cog,d456,Amazon,/orgs/1/workloads/7c883c29-40f5-47a2-97dd-c5158fe358aa
h5-cog-d456,h,cog,d456,Amazon,/orgs/1/workloads/f7085c13-506f-418d-ad86-686854c3971a
h3-up-s2,h,up,s2,Amazon,/orgs/1/workloads/7920f758-cd95-4ec4-85f1-b039736b9cb0
h1-cog-s1,h,cog,s1,Amazon,/orgs/1/workloads/8921e965-34aa-4446-b392-5affa6da5f00
h6-up-s2,h,up,s2,Amazon,/orgs/1/workloads/34672d25-50be-47f7-b8eb-4584488fd90a
h2-up-s2,h,up,s2,Amazon,/orgs/1/workloads/3a5d300d-c5a3-4239-8ba0-317eb3d26a78
h7-up-s2,h,up,s2,Amazon,/orgs/1/workloads/8c76142d-28ad-4352-9c38-60c1d9660598
h5-up-s2,h,up,s2,Amazon,/orgs/1/workloads/bdc08fd0-c78f-4de2-a175-3294f8ed4aec
h1-up-d321,h,up,d321,Amazon,/orgs/1/workloads/e31a4c25-aa10-471e-9d77-958c6bc5174f
h2-up-d321,h,up,d321,Amazon,/orgs/1/workloads/0d88ab52-447b-479c-a0ed-09099cf536fb
h8-up-s2,h,up,s2,Amazon,/orgs/1/workloads/7eb93c30-542f-4c17-b524-a304b02a94e7
h5-up-d321,h,up,d321,Amazon,/orgs/1/workloads/5f08bd87-b2dd-41a4-96c3-5e20272ec016
h3-up-d321,h,up,d321,Amazon,/orgs/1/workloads/a54c27e7-2d11-4510-8366-c9da5ccc3b5c
h3-up-d654,h,up,d654,Amazon,/orgs/1/workloads/3723b201-a40b-4899-a8a9-670807833df8
h1-up-d654,h,up,d654,Amazon,/orgs/1/workloads/c245cf75-3c1a-4262-9a3d-ed91b3af02b0
h4-up-d321,h,up,d321,Amazon,/orgs/1/workloads/4404c7f7-b2e9-48c4-886f-343639b7a650
h2-up-d654,h,up,d654,Amazon,/orgs/1/workloads/35e89862-689a-417e-930c-47ec5da68b7a
h5-up-d654,h,up,d654,Amazon,/orgs/1/workloads/3ad671dd-2d5d-453b-9c86-b13c5454ee2a
h4-up-d654,h,up,d654,Amazon,/orgs/1/workloads/f750c0eb-8daf-4f37-9006-70767f9b01b8
h4-up-s2,h,up,s2,Amazon,/orgs/1/workloads/b938aaf2-bb6f-433e-80d6-def547fb5d13
h1-up-s2,h,up,s2,Amazon,/orgs/1/workloads/5b0ee204-ba91-4388-8fac-6c8e81658e7d
